run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,receivedCams,,,"1.291108674537 1.49110867297 1.791108669915 2.091108665967 2.255911739802 2.391108661104 2.455911741577 2.655911743724 2.691108655433 2.855911746272 2.991108648921 3.155911750845 3.291108641558 3.355911754387 3.555911758249 3.591108633444 3.755911762435 3.891108624486 3.955911766992 4.19110861462 4.227488787405 4.255911774488 4.427488792023 4.491108603901 4.555911782866 4.627488796937 4.791108592349 4.801942567219 4.827488802092 4.855911791989","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30"
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,reception:vector(camStationId),,,"1.291108674537 1.49110867297 1.791108669915 2.091108665967 2.255911739802 2.391108661104 2.455911741577 2.655911743724 2.691108655433 2.855911746272 2.991108648921 3.155911750845 3.291108641558 3.355911754387 3.555911758249 3.591108633444 3.755911762435 3.891108624486 3.955911766992 4.19110861462 4.227488787405 4.255911774488 4.427488792023 4.491108603901 4.555911782866 4.627488796937 4.791108592349 4.801942567219 4.827488802092 4.855911791989","1804289383 1804289383 1804289383 1804289383 1681692777 1804289383 1681692777 1681692777 1804289383 1681692777 1804289383 1681692777 1804289383 1681692777 1681692777 1804289383 1681692777 1804289383 1681692777 1804289383 1714636915 1681692777 1714636915 1804289383 1681692777 1714636915 1804289383 1957747793 1714636915 1681692777"
General-0-20220601-17:46:38-6427,attr,World.node[1].middleware.CA,reception:vector(camStationId),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,reception:vector(camGenerationDeltaTime),,,"1.291108674537 1.49110867297 1.791108669915 2.091108665967 2.255911739802 2.391108661104 2.455911741577 2.655911743724 2.691108655433 2.855911746272 2.991108648921 3.155911750845 3.291108641558 3.355911754387 3.555911758249 3.591108633444 3.755911762435 3.891108624486 3.955911766992 4.19110861462 4.227488787405 4.255911774488 4.427488792023 4.491108603901 4.555911782866 4.627488796937 4.791108592349 4.801942567219 4.827488802092 4.855911791989","63184 63384 63684 63984 64184 64284 64384 64584 64584 64784 64884 65084 65184 65284 65484 65484 148 248 348 548 648 648 848 848 948 1048 1148 1248 1248 1248"
General-0-20220601-17:46:38-6427,attr,World.node[1].middleware.CA,reception:vector(camGenerationDeltaTime),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[1].vanetza[0].dcc,cbrRecorder,,,"1.385082081473 1.485082081473 1.585082081473 1.685082081473 1.785082081473 1.885082081473 1.985082081473 2.085082081473 2.185082081473 2.285082081473 2.385082081473 2.485082081473 2.585082081473 2.685082081473 2.785082081473 2.885082081473 2.985082081473 3.085082081473 3.185082081473 3.285082081473 3.385082081473 3.485082081473 3.585082081473 3.685082081473 3.785082081473 3.885082081473 3.985082081473 4.085082081473 4.185082081473 4.285082081473 4.385082081473 4.485082081473 4.585082081473 4.685082081473 4.785082081473 4.885082081473 4.985082081473","0.00232 0 0.00232 0 0 0.00232 0 0 0.00232 0.00232 0 0.00464 0 0.00232 0.00232 0.00232 0 0.00232 0.00232 0 0.00464 0 0.00232 0.00232 0.00232 0 0.00464 0 0 0.00696 0 0.00232 0.00464 0.00232 0 0.00928 0"
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,sendCamCases,,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","2 3 3 3 2 2 2 2 3 2 2 2 3"
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,timeIntervalMessages,,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","0.160276337038 0.2 0.2 0.2 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3"
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,sentCams,,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","1 2 3 4 5 6 7 8 9 10 11 12 13"
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,transmission:vector(camStationId),,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886 846930886"
General-0-20220601-17:46:38-6427,attr,World.node[1].middleware.CA,transmission:vector(camStationId),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,transmission:vector(camGenerationDeltaTime),,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","63384 63584 63784 63984 64284 64584 64884 65184 65484 248 548 848 1148"
General-0-20220601-17:46:38-6427,attr,World.node[1].middleware.CA,transmission:vector(camGenerationDeltaTime),source,CamSent,,
General-0-20220601-17:46:38-6427,vector,World.node[1].middleware.CA,CamSize,,,"1.445358418511 1.645358418511 1.845358418511 2.045358418511 2.345358418511 2.645358418511 2.945358418511 3.245358418511 3.545358418511 3.845358418511 4.145358418511 4.445358418511 4.745358418511","62 60 60 62 60 62 60 62 60 62 60 62 60"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,receivedCams,,,"1.445590838625 1.64559083669 1.845590834352 2.045590831622 2.25591211458 2.345590826759 2.455912112463 2.645590821088 2.655912110043 2.855912107308 2.945590814576 3.155912102701 3.245590807213 3.355912099311 3.545590799099 3.555912095716 3.755912091937 3.845590790141 3.955912087982 4.145590780275 4.227489086581 4.255912081748 4.427489084422 4.445590769556 4.555912075283 4.627489082204 4.745590758004 4.80194261307 4.827489079928 4.855912068689","1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30"
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,reception:vector(camStationId),,,"1.445590838625 1.64559083669 1.845590834352 2.045590831622 2.25591211458 2.345590826759 2.455912112463 2.645590821088 2.655912110043 2.855912107308 2.945590814576 3.155912102701 3.245590807213 3.355912099311 3.545590799099 3.555912095716 3.755912091937 3.845590790141 3.955912087982 4.145590780275 4.227489086581 4.255912081748 4.427489084422 4.445590769556 4.555912075283 4.627489082204 4.745590758004 4.80194261307 4.827489079928 4.855912068689","846930886 846930886 846930886 846930886 1681692777 846930886 1681692777 846930886 1681692777 1681692777 846930886 1681692777 846930886 1681692777 846930886 1681692777 1681692777 846930886 1681692777 846930886 1714636915 1681692777 1714636915 846930886 1681692777 1714636915 846930886 1957747793 1714636915 1681692777"
General-0-20220601-17:46:38-6427,attr,World.node[0].middleware.CA,reception:vector(camStationId),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[0].middleware.CA,reception:vector(camGenerationDeltaTime),,,"1.445590838625 1.64559083669 1.845590834352 2.045590831622 2.25591211458 2.345590826759 2.455912112463 2.645590821088 2.655912110043 2.855912107308 2.945590814576 3.155912102701 3.245590807213 3.355912099311 3.545590799099 3.555912095716 3.755912091937 3.845590790141 3.955912087982 4.145590780275 4.227489086581 4.255912081748 4.427489084422 4.445590769556 4.555912075283 4.627489082204 4.745590758004 4.80194261307 4.827489079928 4.855912068689","63384 63584 63784 63984 64184 64284 64384 64584 64584 64784 64884 65084 65184 65284 65484 65484 148 248 348 548 648 648 848 848 948 1048 1148 1248 1248 1248"
General-0-20220601-17:46:38-6427,attr,World.node[0].middleware.CA,reception:vector(camGenerationDeltaTime),source,CamReceived,,
General-0-20220601-17:46:38-6427,vector,World.node[2],posX:vector,,,"2.125926227914 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35 98.35"
General-0-20220601-17:46:38-6427,attr,World.node[2],posX:vector,source,xCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[2],posY:vector,,,"2.125926227914 2.2 2.3 2.4 2.5 2.6 2.7 2.8 2.9 3 3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4 4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8 4.9 5","309.85 309.87471746926 309.92403344888 309.99767994039 310.09379550839 310.21445309277 310.35868741039 310.52815707129 310.71704994573 310.92852052964 311.163152239 311.42270600752 311.70799971409 312.01057582934 312.33097547368 312.66604652635 313.0183395702 313.38729044308 313.77181505376 314.1787407561 314.60244925915 315.04707204119 315.51619601543 316.00401410783 316.50659869031 317.03358189739 317.57367589477 318.13379316617 318.70933364694 319.30514815048"
General-0-20220601-17:46:38-6427,attr,World.node[2],posY:vector,source,yCoord(mobilityPos(mobilityStateChanged)),,
General-0-20220601-17:46:38-6427,vector,World.node[2].vanetza[0].dcc,cbrRecorder,,,"2.225926227914 2.325926227914 2.425926227914 2.525926227914 2.625926227914 2.725926227914 2.825926227914 2.925926227914 3.025926227914 3.125926227914 3.225926227914 3.325926227914 3.425926227914 3.525926227914 3.625926227914 3.725926227914 3.825926227914 3.925926227914 4.025926227914 4.125926227914 4.225926227914 4.325926227914 4.425926227914 4.525926227914 4.625926227914 4.725926227914 4.825926227914 4.925926227914","0 0 0.00464 0 0 0.00464 0 0 0.00464 0 0 0.00464 0 0 0.00464 0 0 0.00464 0 0 0.00464 0.00232 0 0.00696 0 0.00232 0.00696 0.00232"
